ID	DATE	LOCATION	RACE NAME	SURFACE	ORGANISATION	PLACE	ATHLETE	CATEGORY	GENDER	GRADE	TIME	DISTANCE KM	NOTES	PACE MIN/KM													
1120	24/02/2019	Phoenix Park	LVAC Mens Cross Country Championships	XC	LVAC	1	Peter Arthur	Club Championships	Men		24:01.0		Check distance														
1121	24/02/2019	Phoenix Park	LVAC Womens Cross Country Championships	XC	LVAC	1	Sile Carroll	Club Championships	Women		19:22.0		Check distance														
1122	24/03/2019	Phoenix Park	LVAC Avondale Cup	Road	LVAC	1	Ger Feely		Women		29:15.0		Finish 00:34:00.00 | Handicap 00:04:45.00 | Check distance														
1128	14/12/2019	"Dog Pond, Phoenix Park"	LVAC Cake Race	Road	LVAC	2	Tommy Breheny		Men		21:30.0		Finish 00:24:30.00 | Handicap 00:03:00.00 | Check distance														
1130	05/01/2020	"St Annes Park, Raheny"	Dublin Masters Cross Country - Men	XC	Dublin	2	Pierce Geoghegan	Master	Men		20:58.0		Check distance														
1131	05/01/2020	"St Annes Park, Raheny"	Dublin Masters Cross Country - Women	XC	Dublin	66	Ger Feely	Master	Women		14:33.0		Check distance														
1134	10/10/2021	"Tymon Park, Dublin"	Dublin Novice Cross Country Championships	XC	Dublin	4	Sinead McDonald	Novice	Women		14:46.0		Check distance														
1135	23/10/2021	"Ballyhale, Co. Kilkenny"	Leinster Novice Cross Country Championships	XC	Leinster	10	Sinead McDonald	Novice	Women		15:42.0		Check distance														
1136	31/10/2021	"Trinity Sports Ground, Santry"	Dublin Senior Cross Country Championships	XC	Dublin	17	Sinead McDonald	Senior	Women		22:14.0		Check distance														
1137	07/11/2021	"Avondale House, Co. Wicklow"	Leinster Senior Cross Country Championships	XC	Leinster	21	Lea Fulcher	Senior	Women		35:46.0		Check distance														
1139	21/11/2021	"Santry, Dublin"	National Senior Cross Country Championships	XC	National	71	Peter Arthur	Senior	Men		33:42.0		Check distance														
1140	28/11/2021	"Tymon Park, Dublin"	Dublin Intermediate Cross Country Championships	XC	Dublin	4	Sinead McDonald	Intermediate	Women		20:07.0		Check distance														
1141	05/12/2021	"Gowran, Co. Kilkenny"	National Novice Cross Country Championships	XC	National	56	Sinead McDonald	Novice	Women		16:07.0		Check distance														
1142	18/12/2021	"Dog Pond, Phoenix Park"	LVAC Cake Race	Road	LVAC	1	Mary Ellen Ryan		Women		23:49.0		Finish 00:23:49.00 | Handicap 00:00:00.00 | Check distance														
1144	09/01/2022	"St. Annes Park, Raheny"	Dublin Masters Cross Country Championships	XC	Dublin	17	Orla Gordon	Master	Women		14:24.0		Check distance														
1145	15/01/2022	"Dunboyne, Co. Meath"	Leinster Inter Cross Country Championships	XC	Leinster	10	Sinead McDonald	Intermediate	Women		15:23.0		Check distance														
1146	15/01/2022	"Dunboyne, Co. Meath"	Leinster Masters Cross Country Championships	XC	Leinster	6	Una Reilly	Master	Women		19:53.0		Check distance														
1148	13/02/2022	"Castlelyons, Co. Cork"	National Intermediate Cross Country Championships	XC	National	22	Elle O'Driscoll	Intermediate	Women		20:45.0		Check distance														
1149	13/02/2022	"Castlelyons, Co. Cork"	National Masters Cross Country Championships	XC	National	7	Arnaud Benjacar	Master	Men	M50	25:29.0		Check distance														
1154	27/03/2022	"Phoenix Park, George Harrison 5k Lap"	LVAC Avondale Cup	Road	LVAC	1	David Carroll		Men		17:37.0		Finish 00:26:22.00 | Handicap 00:08:45.00 | Check distance														
1158	24/04/2022	"Raheny, Dublin"	National Road Relays	Road	National	10	Mollie O'Donnell		Women		05:50.0		Check distance														
1160	30/04/2022	"Gowran, Co Kilkenny"	Leinster Inter & Master Road Championships	Road	Leinster	1	Lea Fulcher	Intermediate	Women	M45	19:39.0		Check distance														
1185	25/09/2022	"Stamullen, Co. Meath"	Star of the Sea AC 32nd Annual Cross Country	XC	Club Races	18	Siobhan Nugent		Women		13:11.0		Check distance														
1187	09/10/2022	"Tymon Park, Dublin"	Dublin Novice XC	XC	Dublin	7	Jen Preston	Novice	Women		16:00.0		Check distance														
1188	16/10/2022	"Abbottstown, Dublin"	Autumn Open International Cross Country Festival	XC	International	35	Sile Carroll	Intermediate	Women		24:02.0		Check distance														
1189	23/10/2022	"Bellurgan Park, Carlingford Road, Dundalk (Eircode A91 FP86)."	Leinster Novice Cross Country Championships	XC	Leinster	27	Ciara Broderick Farrell	Novice	Women		18:43.0		Check distance														
1191	06/11/2022	"Citywest Hotel Leisure Centre, Dublin"	Dublin Senior Cross Country Championships	XC	Dublin	15	Sile Carroll	Senior	Women		24:40.0		Check distance														
1195	04/12/2022	"Aghern Garryann (St. Catherines A.C.), East Cork."	National Novice Cross Country Championships	XC	National	77	Siobhan Nugent	Novice	Women		18:19.0		Check distance														
1196	11/12/2022	"Tymon Park, Dublin"	Dublin Intermediate XC	XC	Dublin	6	Ciara Broderick Farrell	Intermediate	Women		22:34.0		Check distance														
1197	17/12/2022	"Dog Pond, Phoenix Park"	LVAC Cake Race	Road	LVAC	1	Rebecca McLoughlin		Women		21:56.0		Finish 00:24:26.00 | Handicap 00:02:30.00 | Check distance														
1199	08/01/2023	"St. Annes Park, Raheny"	Dublin Masters Cross Country Championships	XC	Dublin	2	Una Reilly	Master	Women		15:38.0		Check distance														
1200	15/01/2023	"Avondale House, Co. Wicklow"	Leinster Intermediate Cross Country Championships	XC	Leinster	10	Ciara Broderick Farrell	Intermediate	Women		17:13.0		Club Team | Check distance														
1201	15/01/2023	"Avondale House, Co. Wicklow"	Leinster Masters Cross Country Championships	XC	Leinster	1	Peter Arthur	Master	Men	M35	20:27.0		"Individual, County, 6th M35 Team | Check distance"														
1203	12/02/2023	"Gowran, Co. Kilkenny"	National Inter Cross Country Championships	XC	National	31	Mollie O'Donnell	Intermediate	Women		20:48.0		Check distance														
1204	12/02/2023	"Dunboyne, Co. Meath"	National Masters Cross Country Championships	XC	National	3	Una Reilly	Master	Women		20:04.0		Check distance														
1206	12/03/2023	"Phoenix Park, George Harrison 5k Lap"	LVAC Avondale Cup	Road	LVAC	1	Patrick Fox		Men		18:42.0		Finish 00:27:02.00 | Handicap 00:08:20.00 | Check distance														
1208	23/04/2023	"Raheny, Dublin"	National Road Relays	Road	National	10	Mollie O'Donnell		Women		05:50.0		Check distance														
1209	29/04/2023	"Belfield, UCD"	Dublin Graded Meeting 1	Track	Dublin	5	Orla Gordon		Women		06:09.4		PB | Check distance														
1210	29/04/2023	"Gowran, Co. Kilkenny"	Leinster Novice Road Championships	Road	Leinster	21	Siobhan Nugent	Novice	Women		12:32.0		Check distance														
1226	02/08/2023	Morton Stadium	Dublin Graded Meeting 8	Track	Dublin	3	Brigid Reilly		Women		05:57.4		Check distance														
1234	01/10/2023	"Pescara, Italy"	EUROPEAN MASTERS ATHLETICS CHAMPIONSHIPS	Road	International	9	Tom O'Connor	Master	Men	M60	01:28.6		3rd Team Ireland | Check distance														
1235	08/10/2023	"Tymon Park, Dublin"	Dublin Novice XC	XC	Dublin	8	Ciara Broderick Farrell	Novice	Women		15:58.0		Check distance														
1237	21/10/2023	"Mountain View, Co. Kilkenny"	Leinster Novice Cross Country Championships	XC	Leinster	35	Siobhan Nugent	Novice	Women		18:30.0		9th Club Team | Check distance														
1239	04/11/2023	"Dunboyne, Co. Meath"	Leinster Senior Cross Country Championships	XC	Leinster	32	Siobhan Nugent	Senior	Women		29:42.0		5th Club Team | Check distance														
1242	19/11/2023	Gowran Demesne	National Senior Cross County Championships	Road	National	155	Geoffrey Alexandre	Senior	Men		39:38.0		"2nd Club Grade ""B"" All Ireland Senior | Check distance"														
1243	26/11/2023	"Tymon Park, Dublin"	Dublin Intermediate Cross Country Championships	XC	Dublin	12	Brigid Long	Intermediate	Women		21:19.0		5th Team | Check distance														
1245	03/12/2023	"Navan Race Course, Co. Meath"	National Novice Cross Country Championships	XC	National	63	Siobhan Nugent	Novice	Women		17:26.0		Check distance														
1246	16/12/2023	"Dog Pond, Phoenix Park"	LVAC Cake Race	Road	LVAC	1	Bernard O'Sullivan		Men		20:33.0		Finish 00:25:18.00 | Handicap 00:04:45.00 | Check distance														
1248	07/01/2024	"St. Annes Park, Raheny"	Dublin Masters Cross Country Championships	XC	Dublin	2	Una Reilly	Master	Women		16:26.0		Check distance														
